pkt_index,size,RTT,port
1170,64,20.31,1200
1171,64,18.87,1200
1172,64,19.89,1200
1173,64,24.13,1200
1174,64,20.38,1200
1175,64,20.37,1200
1176,64,19.12,1200
1177,64,20.29,1200
1178,64,20.32,1200
1179,64,19.43,1200
1180,64,19.92,1200
1181,64,21.38,1200
1182,64,22.55,1200
1183,64,19.41,1200
1184,64,19.79,1200
1185,64,19.92,1200
1186,64,20.08,1200
1187,64,18.72,1200
1188,64,19.47,1200
1189,64,23.49,1200
1190,64,19.30,1200
1191,64,18.86,1200
1192,64,19.07,1200
1193,64,19.64,1200
1194,64,19.69,1200
1195,64,20.60,1200
1196,64,20.09,1200
1197,64,19.84,1200
1198,64,19.98,1200
1199,64,19.10,1200
1200,64,22.37,1200
1201,64,20.10,1200
1202,64,20.08,1200
1203,64,18.68,1200
1204,64,20.03,1200
1205,64,22.93,1200
1206,64,19.76,1200
1207,64,20.85,1200
1208,64,20.44,1200
1209,64,20.67,1200
1210,64,20.02,1200
1211,64,18.77,1200
1212,64,19.00,1200
1213,64,19.53,1200
1214,64,22.34,1200
1215,64,19.31,1200
1216,64,20.20,1200
1217,64,22.34,1200
1218,64,20.05,1200
1219,64,19.71,1200
1220,64,19.98,1200
1221,64,24.69,1200
1222,64,21.13,1200
1223,64,19.18,1200
1224,64,19.35,1200
1225,64,20.36,1200
1226,64,20.02,1200
1227,64,19.53,1200
1228,64,19.59,1200
1229,64,20.01,1200
1230,64,20.40,1200
1231,64,19.14,1200
1232,64,19.21,1200
1233,64,26.32,1200
1234,64,21.12,1200
1235,64,18.54,1200
1236,64,19.81,1200
1237,64,20.72,1200
1238,64,19.79,1200
1239,64,18.91,1200
1240,64,19.08,1200
1241,64,20.13,1200
1242,64,20.07,1200
1243,64,18.66,1200
1244,64,18.94,1200
1245,64,19.68,1200
1246,64,21.84,1200
