pkt_index,size,RTT,port
0,64,142.44,1200
1,64,38.43,1200
2,64,34.25,1200
3,64,104.10,1200
4,64,32.19,1200
5,64,30.55,1200
6,64,24.60,1200
7,64,24.08,1200
8,64,23.75,1200
9,64,24.95,1200
10,64,23.68,1200
11,64,23.52,1200
12,64,25.31,1200
13,64,30.14,1200
14,64,24.69,1200
15,64,22.88,1200
16,64,23.28,1200
17,64,23.10,1200
18,64,24.65,1200
19,64,22.98,1200
20,64,23.63,1200
21,64,25.51,1200
22,64,24.18,1200
23,64,24.35,1200
24,64,23.62,1200
25,64,23.88,1200
26,64,23.27,1200
27,64,23.90,1200
28,64,22.95,1200
29,64,23.76,1200
30,64,26.34,1200
31,64,23.11,1200
32,64,28.13,1200
33,64,24.00,1200
34,64,24.83,1200
35,64,24.59,1200
36,64,23.85,1200
37,64,25.81,1200
38,64,23.89,1200
39,64,22.43,1200
40,64,40.99,1200
41,64,41.92,1200
42,64,32.07,1200
43,64,31.18,1200
44,64,30.71,1200
45,64,31.34,1200
46,64,31.18,1200
47,64,30.17,1200
48,64,29.49,1200
49,64,30.99,1200
50,64,30.83,1200
51,64,35.08,1200
52,64,31.61,1200
53,64,34.52,1200
54,64,30.86,1200
55,64,32.63,1200
56,64,39.94,1200
57,64,19.88,1200
58,64,19.97,1200
59,64,19.84,1200
60,64,21.62,1200
61,64,20.98,1200
62,64,22.06,1200
63,64,19.18,1200
64,64,22.01,1200
65,64,23.00,1200
66,64,20.27,1200
67,64,19.52,1200
68,64,19.57,1200
69,64,22.21,1200
70,64,20.04,1200
71,64,19.16,1200
72,64,19.85,1200
73,64,21.02,1200
74,64,19.63,1200
75,64,18.86,1200
76,64,19.48,1200
77,64,19.87,1200
78,64,25.29,1200
79,64,19.60,1200
80,64,18.95,1200
81,64,19.67,1200
82,64,19.64,1200
83,64,19.79,1200
84,64,20.06,1200
85,64,25.03,1200
86,64,20.82,1200
87,64,19.05,1200
88,64,19.79,1200
89,64,19.70,1200
90,64,19.92,1200
91,64,18.87,1200
92,64,19.25,1200
93,64,19.50,1200
94,64,20.96,1200
95,64,22.38,1200
96,64,19.86,1200
97,64,25.13,1200
98,64,22.15,1200
99,64,18.98,1200
100,64,18.96,1200
101,64,22.99,1200
102,64,20.00,1200
103,64,18.50,1200
104,64,18.94,1200
105,64,19.96,1200
106,64,19.81,1200
107,64,19.17,1200
108,64,19.12,1200
109,64,19.70,1200
110,64,22.64,1200
111,64,20.98,1200
112,64,18.85,1200
113,64,19.77,1200
114,64,19.56,1200
115,64,19.42,1200
116,64,19.37,1200
117,64,21.48,1200
118,64,19.64,1200
119,64,19.30,1200
120,64,18.77,1200
121,64,19.75,1200
122,64,19.76,1200
123,64,20.44,1200
124,64,20.57,1200
125,64,19.95,1200
126,64,22.03,1200
127,64,19.22,1200
128,64,20.18,1200
129,64,20.09,1200
130,64,19.70,1200
131,64,19.42,1200
132,64,19.09,1200
133,64,23.79,1200
134,64,19.33,1200
135,64,19.92,1200
136,64,20.40,1200
137,64,20.51,1200
138,64,19.82,1200
139,64,19.27,1200
140,64,19.73,1200
141,64,19.38,1200
142,64,19.90,1200
143,64,19.49,1200
144,64,19.14,1200
145,64,19.40,1200
146,64,19.87,1200
147,64,19.28,1200
148,64,19.84,1200
149,64,23.16,1200
150,64,20.41,1200
151,64,19.21,1200
152,64,19.12,1200
153,64,19.64,1200
154,64,19.36,1200
155,64,19.08,1200
156,64,18.92,1200
157,64,19.67,1200
158,64,21.28,1200
159,64,18.99,1200
160,64,20.39,1200
161,64,21.12,1200
162,64,22.04,1200
163,64,20.82,1200
164,64,19.79,1200
165,64,23.58,1200
166,64,20.23,1200
167,64,19.12,1200
168,64,18.87,1200
169,64,19.80,1200
170,64,20.20,1200
171,64,19.11,1200
172,64,20.07,1200
173,64,19.59,1200
174,64,20.69,1200
175,64,21.46,1200
176,64,20.25,1200
177,64,21.59,1200
178,64,20.13,1200
179,64,18.85,1200
180,64,19.46,1200
181,64,21.21,1200
182,64,19.51,1200
183,64,19.07,1200
184,64,19.19,1200
185,64,19.60,1200
186,64,19.83,1200
187,64,25.70,1200
188,64,21.11,1200
189,64,20.56,1200
190,64,22.28,1200
191,64,18.86,1200
192,64,20.29,1200
193,64,20.23,1200
194,64,22.84,1200
195,64,18.63,1200
196,64,19.18,1200
197,64,24.88,1200
198,64,19.40,1200
199,64,19.53,1200
200,64,20.86,1200
201,64,20.36,1200
202,64,19.47,1200
203,64,19.08,1200
204,64,19.12,1200
205,64,19.31,1200
206,64,20.14,1200
207,64,18.99,1200
208,64,18.90,1200
209,64,20.40,1200
210,64,20.00,1200
211,64,19.23,1200
212,64,20.49,1200
213,64,23.39,1200
214,64,20.76,1200
215,64,18.75,1200
216,64,19.27,1200
217,64,19.62,1200
218,64,19.73,1200
219,64,19.29,1200
220,64,19.49,1200
221,64,19.53,1200
222,64,22.27,1200
223,64,18.97,1200
224,64,20.69,1200
225,64,27.50,1200
226,64,24.07,1200
227,64,20.65,1200
228,64,19.56,1200
229,64,24.22,1200
230,64,20.00,1200
231,64,19.27,1200
232,64,18.61,1200
233,64,19.70,1200
234,64,20.12,1200
235,64,19.57,1200
236,64,19.51,1200
237,64,21.82,1200
238,64,21.52,1200
239,64,20.55,1200
240,64,19.81,1200
241,64,19.23,1200
242,64,19.36,1200
243,64,19.59,1200
244,64,19.36,1200
245,64,22.40,1200
246,64,19.54,1200
247,64,18.64,1200
248,64,19.13,1200
249,64,20.33,1200
250,64,20.87,1200
251,64,21.28,1200
252,64,19.97,1200
253,64,20.08,1200
254,64,22.88,1200
255,64,19.49,1200
256,64,20.14,1200
257,64,19.84,1200
258,64,20.13,1200
259,64,19.38,1200
260,64,20.02,1200
261,64,22.50,1200
262,64,20.25,1200
263,64,20.56,1200
264,64,19.67,1200
265,64,21.28,1200
266,64,21.53,1200
267,64,20.17,1200
268,64,19.33,1200
269,64,19.79,1200
270,64,19.84,1200
271,64,19.35,1200
272,64,19.19,1200
273,64,21.11,1200
274,64,20.46,1200
275,64,19.82,1200
276,64,24.80,1200
277,64,22.38,1200
278,64,20.53,1200
279,64,18.97,1200
280,64,18.90,1200
281,64,19.41,1200
282,64,20.56,1200
283,64,19.36,1200
284,64,19.46,1200
285,64,19.79,1200
286,64,22.32,1200
287,64,19.75,1200
288,64,21.83,1200
289,64,22.23,1200
290,64,20.44,1200
291,64,19.60,1200
292,64,19.89,1200
293,64,23.37,1200
294,64,19.91,1200
295,64,19.64,1200
296,64,19.22,1200
297,64,20.06,1200
298,64,20.25,1200
299,64,18.95,1200
300,64,19.70,1200
301,64,21.25,1200
302,64,21.62,1200
303,64,19.57,1200
304,64,19.78,1200
305,64,20.26,1200
306,64,19.78,1200
307,64,20.02,1200
308,64,20.18,1200
309,64,22.50,1200
310,64,20.10,1200
311,64,19.22,1200
312,64,18.96,1200
313,64,20.49,1200
314,64,21.06,1200
315,64,20.60,1200
316,64,19.55,1200
317,64,19.72,1200
318,64,23.29,1200
319,64,19.19,1200
320,64,21.21,1200
321,64,20.47,1200
322,64,20.20,1200
323,64,19.39,1200
324,64,19.30,1200
325,64,26.39,1200
326,64,21.22,1200
327,64,20.45,1200
328,64,18.85,1200
329,64,20.13,1200
330,64,19.34,1200
331,64,19.50,1200
332,64,18.96,1200
333,64,20.56,1200
334,64,19.54,1200
335,64,19.61,1200
336,64,19.64,1200
337,64,20.44,1200
338,64,20.32,1200
339,64,20.33,1200
340,64,22.57,1200
341,64,24.72,1200
342,64,20.01,1200
343,64,19.13,1200
344,64,19.62,1200
345,64,19.56,1200
346,64,19.68,1200
347,64,19.78,1200
348,64,19.46,1200
349,64,19.51,1200
350,64,22.10,1200
351,64,20.17,1200
352,64,20.93,1200
353,64,29.61,1200
354,64,20.58,1200
355,64,19.17,1200
356,64,19.56,1200
357,64,23.49,1200
358,64,19.87,1200
359,64,19.28,1200
360,64,19.13,1200
361,64,20.04,1200
362,64,19.68,1200
363,64,20.68,1200
364,64,21.11,1200
365,64,20.88,1200
366,64,20.59,1200
367,64,19.36,1200
368,64,19.43,1200
369,64,20.34,1200
370,64,20.14,1200
371,64,19.70,1200
372,64,19.30,1200
373,64,27.19,1200
374,64,20.38,1200
375,64,19.61,1200
376,64,19.60,1200
377,64,22.11,1200
378,64,20.94,1200
379,64,20.09,1200
380,64,19.49,1200
381,64,19.74,1200
382,64,22.79,1200
383,64,19.72,1200
384,64,19.90,1200
385,64,20.24,1200
386,64,20.28,1200
387,64,19.57,1200
388,64,20.08,1200
389,64,26.20,1200
390,64,21.49,1200
391,64,19.11,1200
392,64,18.67,1200
393,64,19.91,1200
394,64,19.38,1200
395,64,19.30,1200
396,64,19.64,1200
397,64,19.62,1200
398,64,19.84,1200
399,64,19.01,1200
400,64,19.66,1200
401,64,23.87,1200
402,64,21.54,1200
403,64,20.74,1200
404,64,19.78,1200
405,64,23.00,1200
406,64,19.83,1200
407,64,19.49,1200
408,64,19.64,1200
409,64,20.14,1200
410,64,20.59,1200
411,64,19.19,1200
412,64,19.38,1200
413,64,19.98,1200
414,64,28.64,1200
415,64,21.13,1200
416,64,20.52,1200
417,64,19.79,1200
418,64,20.13,1200
419,64,19.83,1200
420,64,19.57,1200
421,64,24.27,1200
422,64,23.58,1200
423,64,18.84,1200
424,64,18.62,1200
425,64,19.70,1200
426,64,20.66,1200
427,64,20.44,1200
428,64,19.96,1200
429,64,19.82,1200
430,64,19.88,1200
431,64,19.07,1200
432,64,18.54,1200
433,64,20.39,1200
434,64,19.67,1200
435,64,19.02,1200
436,64,19.07,1200
437,64,22.87,1200
438,64,19.50,1200
439,64,20.27,1200
440,64,20.52,1200
441,64,19.59,1200
442,64,19.30,1200
443,64,18.36,1200
444,64,19.08,1200
445,64,19.64,1200
446,64,22.19,1200
447,64,18.95,1200
448,64,20.16,1200
449,64,19.98,1200
450,64,20.15,1200
451,64,19.04,1200
452,64,20.09,1200
453,64,25.96,1200
454,64,21.12,1200
455,64,19.53,1200
456,64,18.65,1200
457,64,19.50,1200
458,64,19.34,1200
459,64,18.87,1200
460,64,19.32,1200
461,64,19.43,1200
462,64,19.83,1200
463,64,18.89,1200
464,64,19.40,1200
465,64,28.83,1200
466,64,21.34,1200
467,64,19.23,1200
468,64,19.18,1200
469,64,20.48,1200
470,64,19.39,1200
471,64,22.32,1200
472,64,20.89,1200
473,64,20.16,1200
474,64,19.81,1200
475,64,18.92,1200
476,64,19.37,1200
477,64,21.07,1200
478,64,22.00,1200
479,64,20.05,1200
480,64,19.91,1200
481,64,20.30,1200
482,64,20.22,1200
483,64,19.53,1200
484,64,20.39,1200
485,64,24.00,1200
486,64,20.29,1200
487,64,19.70,1200
488,64,19.28,1200
489,64,19.89,1200
490,64,25.34,1200
491,64,20.35,1200
492,64,19.69,1200
493,64,19.80,1200
494,64,20.81,1200
495,64,19.58,1200
496,64,19.27,1200
497,64,19.80,1200
498,64,20.08,1200
499,64,19.83,1200
500,64,19.73,1200
501,64,27.85,1200
502,64,20.91,1200
503,64,20.87,1200
504,64,20.07,1200
505,64,20.64,1200
506,64,20.19,1200
507,64,18.82,1200
508,64,20.34,1200
509,64,19.61,1200
510,64,22.85,1200
511,64,19.07,1200
512,64,20.17,1200
513,64,20.20,1200
514,64,20.17,1200
515,64,23.62,1200
516,64,21.79,1200
517,64,23.97,1200
518,64,20.46,1200
519,64,22.06,1200
520,64,19.12,1200
521,64,19.73,1200
522,64,19.48,1200
523,64,19.88,1200
524,64,19.41,1200
525,64,19.28,1200
526,64,20.00,1200
527,64,20.41,1200
528,64,20.76,1200
529,64,23.01,1200
530,64,20.29,1200
531,64,19.85,1200
532,64,19.89,1200
533,64,24.32,1200
534,64,20.05,1200
535,64,19.79,1200
536,64,22.21,1200
537,64,20.96,1200
538,64,20.07,1200
539,64,19.44,1200
540,64,20.87,1200
541,64,21.26,1200
542,64,22.97,1200
543,64,19.82,1200
544,64,20.02,1200
545,64,19.97,1200
546,64,19.66,1200
547,64,19.32,1200
548,64,19.15,1200
549,64,22.13,1200
550,64,19.51,1200
551,64,19.26,1200
552,64,19.93,1200
553,64,21.82,1200
554,64,20.71,1200
555,64,19.64,1200
556,64,19.46,1200
557,64,19.75,1200
558,64,20.29,1200
559,64,19.79,1200
560,64,19.51,1200
561,64,20.33,1200
562,64,19.62,1200
563,64,19.42,1200
564,64,19.05,1200
565,64,26.28,1200
566,64,21.38,1200
567,64,20.14,1200
568,64,23.56,1200
569,64,20.82,1200
570,64,20.21,1200
571,64,19.43,1200
572,64,19.40,1200
573,64,19.96,1200
574,64,23.38,1200
575,64,19.41,1200
576,64,20.17,1200
577,64,22.29,1200
578,64,21.40,1200
579,64,20.25,1200
580,64,19.68,1200
581,64,23.54,1200
582,64,19.85,1200
583,64,19.25,1200
584,64,19.13,1200
585,64,19.81,1200
586,64,19.90,1200
587,64,19.92,1200
588,64,19.12,1200
589,64,19.86,1200
590,64,20.57,1200
591,64,21.48,1200
592,64,19.80,1200
593,64,19.64,1200
594,64,19.94,1200
595,64,19.50,1200
596,64,19.70,1200
597,64,24.33,1200
598,64,20.01,1200
599,64,19.14,1200
600,64,18.69,1200
601,64,20.10,1200
602,64,19.46,1200
603,64,21.29,1200
604,64,22.36,1200
605,64,20.85,1200
606,64,22.20,1200
607,64,18.99,1200
608,64,20.03,1200
609,64,19.90,1200
610,64,20.26,1200
611,64,20.30,1200
612,64,19.81,1200
613,64,24.58,1200
614,64,20.00,1200
615,64,20.43,1200
616,64,21.00,1200
617,64,30.60,1200
618,64,20.32,1200
619,64,19.43,1200
620,64,19.19,1200
621,64,19.71,1200
622,64,19.58,1200
623,64,18.88,1200
624,64,18.97,1200
625,64,19.82,1200
626,64,19.85,1200
627,64,19.54,1200
628,64,20.38,1200
629,64,26.11,1200
630,64,20.10,1200
631,64,19.20,1200
632,64,19.54,1200
633,64,20.05,1200
634,64,20.24,1200
635,64,19.78,1200
636,64,19.29,1200
637,64,19.80,1200
638,64,22.25,1200
639,64,19.03,1200
640,64,21.27,1200
641,64,21.83,1200
642,64,20.78,1200
643,64,19.50,1200
644,64,19.84,1200
645,64,24.83,1200
646,64,20.39,1200
647,64,19.07,1200
648,64,19.00,1200
649,64,19.88,1200
650,64,20.06,1200
651,64,19.07,1200
652,64,19.20,1200
653,64,27.37,1200
654,64,21.47,1200
655,64,19.91,1200
656,64,19.75,1200
657,64,20.41,1200
658,64,19.89,1200
659,64,19.98,1200
660,64,19.49,1200
661,64,21.57,1200
662,64,20.12,1200
663,64,19.07,1200
664,64,18.88,1200
665,64,20.77,1200
666,64,22.49,1200
667,64,20.10,1200
668,64,19.07,1200
669,64,19.78,1200
670,64,20.55,1200
671,64,19.57,1200
672,64,20.58,1200
673,64,20.41,1200
674,64,19.97,1200
675,64,18.98,1200
676,64,19.66,1200
677,64,25.51,1200
678,64,24.09,1200
679,64,20.73,1200
680,64,19.83,1200
681,64,20.03,1200
682,64,19.63,1200
683,64,19.47,1200
684,64,19.39,1200
685,64,19.58,1200
686,64,19.88,1200
687,64,19.45,1200
688,64,19.41,1200
689,64,20.10,1200
690,64,19.58,1200
691,64,21.04,1200
692,64,21.86,1200
693,64,22.55,1200
694,64,20.00,1200
695,64,19.38,1200
696,64,18.80,1200
697,64,19.58,1200
698,64,19.76,1200
699,64,18.96,1200
700,64,18.61,1200
701,64,19.37,1200
702,64,21.59,1200
703,64,19.18,1200
704,64,21.65,1200
705,64,21.89,1200
706,64,20.70,1200
707,64,19.24,1200
708,64,19.53,1200
709,64,27.02,1200
710,64,19.77,1200
711,64,19.21,1200
712,64,18.73,1200
713,64,19.95,1200
714,64,19.94,1200
715,64,20.14,1200
716,64,20.41,1200
717,64,21.70,1200
718,64,20.70,1200
719,64,19.72,1200
720,64,19.46,1200
721,64,20.18,1200
722,64,20.04,1200
723,64,19.57,1200
724,64,19.51,1200
725,64,22.29,1200
726,64,19.82,1200
727,64,19.26,1200
728,64,18.71,1200
729,64,30.65,1200
730,64,22.55,1200
731,64,22.87,1200
732,64,19.90,1200
733,64,19.61,1200
734,64,20.40,1200
735,64,19.84,1200
736,64,20.48,1200
737,64,20.05,1200
738,64,20.02,1200
739,64,19.25,1200
740,64,19.70,1200
741,64,25.42,1200
742,64,21.27,1200
743,64,19.42,1200
744,64,19.02,1200
745,64,20.33,1200
746,64,20.26,1200
747,64,19.59,1200
748,64,19.45,1200
749,64,20.01,1200
750,64,19.79,1200
751,64,19.56,1200
752,64,18.71,1200
753,64,19.84,1200
754,64,21.45,1200
755,64,20.71,1200
756,64,20.47,1200
757,64,24.16,1200
758,64,19.87,1200
759,64,20.00,1200
760,64,19.10,1200
761,64,20.44,1200
762,64,20.28,1200
763,64,22.71,1200
764,64,20.08,1200
765,64,19.69,1200
766,64,23.49,1200
767,64,20.62,1200
768,64,21.89,1200
769,64,22.21,1200
770,64,20.01,1200
771,64,19.39,1200
772,64,20.19,1200
773,64,24.84,1200
774,64,20.68,1200
775,64,19.21,1200
776,64,19.49,1200
777,64,19.98,1200
778,64,21.37,1200
779,64,20.95,1200
780,64,21.09,1200
781,64,20.26,1200
782,64,19.88,1200
783,64,18.87,1200
784,64,19.28,1200
785,64,20.02,1200
786,64,20.70,1200
787,64,21.25,1200
788,64,20.28,1200
789,64,24.90,1200
790,64,19.95,1200
791,64,19.06,1200
792,64,19.46,1200
793,64,21.66,1200
794,64,20.89,1200
795,64,20.26,1200
796,64,19.42,1200
797,64,20.57,1200
798,64,21.13,1200
799,64,19.92,1200
800,64,21.41,1200
801,64,20.50,1200
802,64,19.84,1200
803,64,19.69,1200
804,64,19.43,1200
805,64,25.84,1200
806,64,21.02,1200
807,64,19.75,1200
808,64,19.61,1200
809,64,19.52,1200
810,64,19.84,1200
811,64,20.07,1200
812,64,20.83,1200
813,64,19.96,1200
814,64,19.55,1200
815,64,19.17,1200
816,64,19.24,1200
817,64,19.64,1200
818,64,20.75,1200
819,64,20.09,1200
820,64,19.96,1200
821,64,23.93,1200
822,64,20.20,1200
823,64,20.03,1200
824,64,19.59,1200
825,64,20.82,1200
826,64,20.29,1200
827,64,19.13,1200
828,64,19.29,1200
829,64,20.20,1200
830,64,22.86,1200
831,64,21.08,1200
832,64,20.52,1200
833,64,20.39,1200
834,64,20.59,1200
835,64,19.18,1200
836,64,19.56,1200
837,64,26.09,1200
838,64,21.04,1200
839,64,18.88,1200
840,64,19.20,1200
841,64,19.96,1200
842,64,19.78,1200
843,64,20.11,1200
844,64,20.70,1200
845,64,19.68,1200
846,64,20.81,1200
847,64,19.90,1200
848,64,18.95,1200
849,64,21.34,1200
850,64,21.59,1200
851,64,20.01,1200
852,64,19.80,1200
853,64,22.04,1200
854,64,19.76,1200
855,64,19.28,1200
856,64,19.52,1200
857,64,21.49,1200
858,64,20.18,1200
859,64,19.42,1200
860,64,19.66,1200
861,64,20.68,1200
862,64,24.56,1200
863,64,20.15,1200
864,64,20.59,1200
865,64,20.24,1200
866,64,20.30,1200
867,64,18.84,1200
868,64,20.36,1200
869,64,26.91,1200
870,64,20.14,1200
871,64,19.38,1200
872,64,18.22,1200
873,64,20.71,1200
874,64,21.01,1200
875,64,21.59,1200
876,64,20.39,1200
877,64,19.79,1200
878,64,20.33,1200
879,64,19.39,1200
880,64,18.96,1200
881,64,21.59,1200
882,64,22.14,1200
883,64,19.30,1200
884,64,19.57,1200
885,64,21.56,1200
886,64,19.99,1200
887,64,19.68,1200
888,64,20.01,1200
889,64,20.32,1200
890,64,19.93,1200
891,64,19.59,1200
892,64,19.32,1200
893,64,22.18,1200
894,64,24.49,1200
895,64,20.61,1200
896,64,20.56,1200
897,64,20.45,1200
898,64,20.46,1200
899,64,21.47,1200
900,64,22.11,1200
901,64,26.72,1200
902,64,19.70,1200
903,64,19.49,1200
904,64,19.09,1200
905,64,23.26,1200
906,64,22.42,1200
907,64,20.06,1200
908,64,20.06,1200
909,64,21.27,1200
910,64,19.63,1200
911,64,19.82,1200
912,64,21.41,1200
913,64,21.19,1200
914,64,19.91,1200
915,64,19.59,1200
916,64,19.57,1200
917,64,21.82,1200
918,64,20.78,1200
919,64,20.12,1200
920,64,19.42,1200
921,64,20.14,1200
922,64,19.81,1200
923,64,19.28,1200
924,64,20.90,1200
925,64,21.73,1200
926,64,21.18,1200
927,64,19.80,1200
928,64,21.08,1200
929,64,20.06,1200
930,64,19.84,1200
931,64,21.36,1200
932,64,20.53,1200
933,64,25.23,1200
934,64,20.27,1200
935,64,19.08,1200
936,64,18.78,1200
937,64,20.53,1200
938,64,20.98,1200
939,64,19.16,1200
940,64,19.64,1200
941,64,20.06,1200
942,64,20.09,1200
943,64,20.59,1200
944,64,20.30,1200
945,64,20.50,1200
946,64,19.55,1200
947,64,19.07,1200
948,64,20.24,1200
949,64,24.89,1200
950,64,22.85,1200
951,64,19.70,1200
952,64,19.20,1200
953,64,19.91,1200
954,64,19.63,1200
955,64,19.21,1200
956,64,20.55,1200
957,64,20.75,1200
958,64,23.03,1200
959,64,19.25,1200
960,64,20.44,1200
961,64,19.60,1200
962,64,20.04,1200
963,64,20.20,1200
964,64,20.74,1200
965,64,24.77,1200
966,64,20.98,1200
967,64,18.68,1200
968,64,21.05,1200
969,64,21.16,1200
970,64,19.82,1200
971,64,19.85,1200
972,64,19.63,1200
973,64,19.90,1200
974,64,20.18,1200
975,64,21.66,1200
976,64,20.55,1200
977,64,20.15,1200
978,64,20.67,1200
979,64,19.45,1200
980,64,20.42,1200
981,64,26.48,1200
982,64,22.06,1200
983,64,20.74,1200
984,64,19.41,1200
985,64,20.08,1200
986,64,19.98,1200
987,64,20.03,1200
988,64,20.43,1200
989,64,19.86,1200
990,64,24.20,1200
991,64,20.24,1200
992,64,19.75,1200
993,64,20.93,1200
994,64,21.36,1200
995,64,18.82,1200
996,64,20.57,1200
997,64,21.89,1200
998,64,20.28,1200
999,64,20.25,1200
1000,64,20.54,1200
1001,64,21.03,1200
1002,64,19.85,1200
1003,64,19.73,1200
1004,64,19.47,1200
1005,64,20.19,1200
1006,64,45.41,1200
1007,64,23.41,1200
1008,64,19.88,1200
1009,64,20.62,1200
1010,64,20.55,1200
1011,64,21.48,1200
1012,64,20.90,1200
1013,64,22.79,1200
1014,64,19.76,1200
1015,64,19.65,1200
1016,64,19.38,1200
1017,64,20.91,1200
1018,64,21.02,1200
1019,64,19.70,1200
1020,64,19.45,1200
1021,64,19.88,1200
1022,64,20.17,1200
1023,64,20.37,1200
1024,64,21.87,1200
1025,64,21.43,1200
1026,64,20.25,1200
1027,64,19.85,1200
1028,64,19.18,1200
1029,64,26.82,1200
1030,64,22.26,1200
1031,64,19.49,1200
1032,64,19.79,1200
1033,64,20.19,1200
1034,64,20.18,1200
1035,64,20.10,1200
1036,64,21.78,1200
1037,64,21.98,1200
1038,64,20.34,1200
1039,64,19.81,1200
1040,64,20.06,1200
1041,64,20.50,1200
1042,64,20.84,1200
1043,64,20.96,1200
1044,64,19.22,1200
1045,64,22.43,1200
1046,64,19.76,1200
1047,64,19.02,1200
1048,64,19.98,1200
1049,64,20.91,1200
1050,64,19.80,1200
1051,64,19.19,1200
1052,64,19.47,1200
1053,64,25.21,1200
1054,64,23.69,1200
1055,64,21.44,1200
1056,64,21.00,1200
1057,64,20.16,1200
1058,64,20.35,1200
1059,64,19.35,1200
1060,64,20.70,1200
1061,64,24.83,1200
1062,64,20.56,1200
1063,64,19.82,1200
1064,64,18.68,1200
1065,64,19.57,1200
1066,64,20.06,1200
1067,64,20.16,1200
1068,64,20.10,1200
1069,64,19.90,1200
1070,64,19.81,1200
1071,64,19.05,1200
1072,64,19.10,1200
1073,64,20.87,1200
1074,64,21.48,1200
1075,64,18.86,1200
1076,64,20.62,1200
1077,64,25.80,1200
1078,64,19.69,1200
1079,64,20.11,1200
1080,64,20.37,1200
1081,64,20.64,1200
1082,64,20.28,1200
1083,64,19.70,1200
1084,64,19.10,1200
1085,64,20.01,1200
1086,64,23.31,1200
1087,64,20.12,1200
1088,64,20.43,1200
1089,64,20.10,1200
1090,64,20.03,1200
1091,64,19.47,1200
1092,64,19.96,1200
1093,64,22.53,1200
1094,64,20.79,1200
1095,64,20.92,1200
1096,64,19.61,1200
1097,64,19.87,1200
1098,64,21.01,1200
1099,64,20.97,1200
1100,64,19.67,1200
1101,64,20.26,1200
1102,64,20.39,1200
1103,64,19.85,1200
1104,64,19.28,1200
1105,64,22.30,1200
1106,64,21.69,1200
1107,64,19.81,1200
1108,64,20.33,1200
1109,64,22.34,1200
1110,64,19.81,1200
1111,64,20.27,1200
1112,64,20.68,1200
1113,64,20.07,1200
1114,64,20.31,1200
1115,64,19.37,1200
1116,64,19.73,1200
1117,64,20.34,1200
1118,64,22.21,1200
1119,64,19.72,1200
1120,64,20.69,1200
1121,64,20.18,1200
1122,64,20.35,1200
1123,64,19.32,1200
1124,64,21.61,1200
1125,64,24.49,1200
1126,64,20.00,1200
1127,64,19.48,1200
1128,64,19.48,1200
1129,64,19.16,1200
1130,64,20.81,1200
1131,64,20.25,1200
1132,64,19.38,1200
1133,64,19.66,1200
1134,64,19.90,1200
1135,64,19.88,1200
1136,64,20.44,1200
1137,64,20.91,1200
1138,64,20.12,1200
1139,64,19.27,1200
1140,64,20.01,1200
1141,64,20.98,1200
1142,64,19.50,1200
1143,64,19.97,1200
1144,64,19.94,1200
1145,64,20.12,1200
1146,64,19.96,1200
1147,64,19.32,1200
1148,64,19.22,1200
1149,64,20.54,1200
1150,64,21.21,1200
1151,64,21.20,1200
1152,64,20.67,1200
1153,64,21.48,1200
1154,64,20.27,1200
1155,64,19.52,1200
1156,64,21.68,1200
1157,64,24.02,1200
1158,64,19.90,1200
1159,64,21.01,1200
1160,64,19.55,1200
1161,64,20.58,1200
1162,64,21.53,1200
1163,64,20.02,1200
1164,64,19.08,1200
1165,64,19.89,1200
1166,64,20.17,1200
1167,64,19.22,1200
1168,64,20.00,1200
1169,64,21.15,1200
